                               ,actual time,actual time,Age,VO2 Max,Riegel,Cameron,Average,My formula,My formula is more accurate by...,
1600 -> 3200,252,555,537,540,525,541,536,535,-1,
1600 -> 3200,296,620,631,634,617,635,629,629,0,
1600 -> 3200,273,579,582,585,569,586,580,580,0,
1600 -> 3200,276,602,588,591,575,592,587,586,-1,
1600 -> 3200,263,554,561,553,548,564,559,559,0,
1600 -> 3200,262,565,559,561,546,562,557,556,-1,
1600 -> 3200,255,556,544,546,532,547,542,541,-1,
1600 -> 3200,256,556,546,548,534,549,544,544,0,
1600 -> 3200,324,702,691,693,676,695,689,690,1,
1600 -> 3200,285,622,608,611,594,611,606,606,0,10 times: -3 sec
1600 -> 3200,267,562,569,572,557,573,566,567,-1,
1600 -> 3200,285,595,608,611,594,611,606,606,0,
1600 -> 3200,291,610,620,623,607,624,619,619,0,
1600 -> 3200,324,702,691,693,676,695,689,690,1,
1600 -> 3200,264,555,563,566,550,566,561,561,0,
1600 -> 3200,277,593,591,593,578,594,589,589,0,
1600 -> 3200,277,604,591,593,578,594,589,589,0,
1600 -> 3200,287,655,612,615,598,616,610,610,0,
1600 -> 3200,322,706,687,689,671,691,684,685,1,
1600 -> 3200,288,628,614,617,600,618,612,612,0,20 times:  -2 sec
1600 -> 3200,253,542,539,542,527,543,538,537,-1,
1600 -> 3200,262,544,559,561,546,562,557,556,1,
1600 -> 3200,251,532,535,538,523,539,534,533,1,
1600 -> 3200,245,531,522,525,511,526,521,520,-1,
1600 -> 3200,248,537,529,531,517,532,527,526,-1,
1600 -> 3200,251,535,535,538,527,539,534,533,-1,
1600 -> 3200,248,567,529,531,517,532,527,526,-1,
1600 -> 3200,267,552,569,572,557,573,568,567,1,
1600 -> 3200,252,543,537,540,525,541,536,535,-1,
1600 -> 3200,256,539,546,548,534,549,544,544,0,30 times: -5 sec
1600 -> 3200,262,562,559,561,546,562,557,556,-1,
1600 -> 3200,260,539,554,557,542,558,553,552,1,
1600 -> 3200,263,549,553,548,564,564,559,559,0,
1600 -> 3200,249,543,531,533,519,534,529,529,0,
1600 -> 3200,256,535,546,548,534,549,544,544,0,
1600 -> 3200,267,566,569,572,557,573,566,567,-1,
1600 -> 3200,252,543,537,540,525,541,536,535,-1,
1600 -> 3200,264,550,563,566,550,566,561,561,0,
1600 -> 3200,255,546,544,546,532,547,542,541,-1,
1600 -> 3200,261,553,556,559,544,560,555,554,1,40 times: -8 sec
1600 -> 3200,263,551,561,553,548,564,559,559,0,
1600 -> 3200,251,535,535,538,527,539,534,533,-1,
1600 -> 3200,255,546,544,546,532,547,542,541,-1,
1600 -> 3200,252,543,537,540,525,541,536,535,-1,
1600 -> 3200,260,544,554,557,542,558,553,552,1,
1600 -> 3200,264,545,563,566,550,566,561,561,0,
1600 -> 3200,260,537,554,557,542,558,553,552,1,
1600 -> 3200,260,547,554,557,542,558,553,552,1,
1600 -> 3200,255,556,544,546,532,547,542,541,-1,
1600 -> 3200,263,554,561,553,548,564,559,559,0,50 times: -9 sec
1600 -> 3200,242,516,516,514,505,518,514,514,0,CURRENTLY ON #51 WITH -9 sec (Average loss of .57 sec per runner)
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,
1600 -> 3200,,,,,,,,,,